I'm afraid there is little I can tell you that would be of any use.	I'm afraid there is little I can tell you that would be of any use.
I am very sorry, but such matters should not be your concern.	I am very sorry, but such matters should not be your concern.
it would be hard for someone such as myself to make a living there, so I have heard.  There are so few laws to work around.	it would be hard for someone such as myself to make a living there, so I have heard.  There are so few laws to work around.
There is much profit to be made here if a man keeps his eyes open for opportunity.	There is much profit to be made here if a man keeps his eyes open for opportunity.
I think at times there is too much magic around here.	I think at times there is too much magic around here.
The new emir is as big a fool as his brother was.  I have heard that he hides in the palace and will not leave his room.	The new emir is as big a fool as his brother was.  I have heard that he hides in the palace and will not leave his room.
The palace of Raseir is very lovely and dangerous.  All the wealth of Raseir remains there, and all the dungeons as well.	The palace of Raseir is very lovely and dangerous.  All the wealth of Raseir remains there, and all the dungeons as well.
It is said that money is the root of all evil.  It just shows you how spiteful men can be who do not have any money.	It is said that money is the root of all evil.  It just shows you how spiteful men can be who do not have any money.
It is best that you speak to Signor Ferrari about such matters.	It is best that you speak to Signor Ferrari about such matters.
Since the fountain does not give water, it stands to reason that someone has to.  And you would not believe how much the Emir's men charge for water.  It is a crime.  Fortunately, my prices are much more affordable.	Since the fountain does not give water, it stands to reason that someone has to.  And you would not believe how much the Emir's men charge for water.  It is a crime.  Fortunately, my prices are much more affordable.
I make my living off of rumors.	I make my living off of rumors.
There was one katta that remained behind when the others left.  I have heard that he went into hiding, but no one has seen him since.	There was one katta that remained behind when the others left.  I have heard that he went into hiding, but no one has seen him since.
You may call me Ugarte.	You may call me Ugarte.
We sell water for 50 centimes, Raseirish Coffee for 75 centimes, and Djinn Slings for 1 dinar.	We sell water for 50 centimes, Raseirish Coffee for 75 centimes, and Djinn Slings for 1 dinar.
Where else can you get water in this city?  The Waterman only comes once a week.	Where else can you get water in this city?  The Waterman only comes once a week.
The Emir's man sells a week's worth of water for 10 dinars.	The Emir's man sells a week's worth of water for 10 dinars.
This city is known for its coffee.	This city is known for its coffee.
You will not forget one, once you have tried one.	You will not forget one, once you have tried one.
Signor Ferrari is to be respected and obeyed.	Signor Ferrari is to be respected and obeyed.
That is Signor Ferrari to you, punk.	That is Signor Ferrari to you, punk.
If you wish to order a drink, order one.  Otherwise, go away.	If you wish to order a drink, order one.  Otherwise, go away.
You think that is so important?  That is nothing to me.	You think that is so important?  That is nothing to me.
If you have no further need of me, sir, there are thirsty customers in need of my wares.	If you have no further need of me, sir, there are thirsty customers in need of my wares.
My water will cost you 20 dinars, Sir.	My water will cost you 20 dinars, Sir.
Normally my water costs 20 dinars, Sir, but for you I will only require 15.	Normally my water costs 20 dinars, Sir, but for you I will only require 15.
Surely, a man such as yourself can easily afford 20 dinars?	Surely, a man such as yourself can easily afford 20 dinars?
I am sorry, Sir, but I do not accept foreign coin.	I am sorry, Sir, but I do not accept foreign coin.
Surely, Sir, you did not intend to buy water with your good looks?	Surely, Sir, you did not intend to buy water with your good looks?
Ugarte takes your money and pours some water from his supply into your waterskins.	Ugarte takes your money and pours some water from his supply into your waterskins.
Please, sir, my dinars?	Please, sir, my dinars?
It seems before I give you what you want, you should give me what I want.  It is only fair, no?  My dinars, please.	It seems before I give you what you want, you should give me what I want.  It is only fair, no?  My dinars, please.
You will know what I speak of when you see it.	You will know what I speak of when you see it.
Wilmer is like a son to me.	Wilmer is like a son to me.
You go past the bar through the door over there.  It will be ready for you at nighttime.  You need not worry about how much it will cost.  We will just put it on your tab.	You go past the bar through the door over there.  It will be ready for you at nighttime.  You need not worry about how much it will cost.  We will just put it on your tab.
Do not let such matters bother you.	Do not let such matters bother you.
When it gets dark outside, the guards patrol the city in search of fools to feed the dungeon.	When it gets dark outside, the guards patrol the city in search of fools to feed the dungeon.
Ugarte and I are old friends.	Ugarte and I are old friends.
Life is a game, my friend.  It is all a matter of what cards you are dealt and how you play them.	Life is a game, my friend.  It is all a matter of what cards you are dealt and how you play them.
Come now, we both know what you are good at.  The question is, just how good are you?	Come now, we both know what you are good at.  The question is, just how good are you?
I shall find myself missing Ugarte.	I shall find myself missing Ugarte.
I will warn you, that name is best not mentioned around here.	I will warn you, that name is best not mentioned around here.
Ugarte would still be here if he had not tried to find more information out for you.  They made an example of him for those that are too curious.	Ugarte would still be here if he had not tried to find more information out for you.  They made an example of him for those that are too curious.
The new regime as ostensibly led by Khaveen certainly altered Raseir.	The new regime as ostensibly led by Khaveen certainly altered Raseir.
You should ask Ugarte what services he provides.	You should ask Ugarte what services he provides.
Information is an important commodity in Raseir.	Information is an important commodity in Raseir.
