Yeah!  We did it!	Yeah!  We did it!
The spell on the room is broken now, Master.  We can go in.	The spell on the room is broken now, Master.  We can go in.
Thank You, Master.  Now I can take Iblis back to his tomb where he will be safe for another Thousand Years and a Year.	Thank You, Master.  Now I can take Iblis back to his tomb where he will be safe for another Thousand Years and a Year.
I knew I would remember it.  The real prophecy is...	I knew I would remember it.  The real prophecy is...
"One thousand years and a Year,    so shall Iblis be caught, In the tombstones of the City,    where he and I once fought. Until moonlight has been captured,    twixt the Scorpion and Drake, Then comes a Hero from the North,    and ancient powers wake."	"One thousand years and a Year,    so shall Iblis be caught, In the tombstones of the City,    where he and I once fought. Until moonlight has been captured,    twixt the Scorpion and Drake, Then comes a Hero from the North,    and ancient powers wake."
"Led and followed by a Dark one,    guide to deceit and despair, Passing through the Trial by Fire,    Trials of Water, Earth, and Air; Passing through the Door unopened,    barrier that yields to none, By my name of Suleiman,    So shall this be done!"	"Led and followed by a Dark one,    guide to deceit and despair, Passing through the Trial by Fire,    Trials of Water, Earth, and Air; Passing through the Door unopened,    barrier that yields to none, By my name of Suleiman,    So shall this be done!"
"Come at last onto betrayal,    and to 'He who waits behind', Seek ye then to capture Iblis,    'ere he rises unconfined. Else shall come the night eternal,    Darkness overshadows light, Unless a hero seeks the darkness    and restores the wrongs to right."	"Come at last onto betrayal,    and to 'He who waits behind', Seek ye then to capture Iblis,    'ere he rises unconfined. Else shall come the night eternal,    Darkness overshadows light, Unless a hero seeks the darkness    and restores the wrongs to right."
Bye, Bye, Master.  It's been fun!	Bye, Bye, Master.  It's been fun!
Is that the best you can do, little man??	Is that the best you can do, little man??
A magical force makes it impossible to cast spells here.	A magical force makes it impossible to cast spells here.
You glance down.  You shiver for a moment, knowing that it's a long way down, and there is no net.	You glance down.  You shiver for a moment, knowing that it's a long way down, and there is no net.
Your life passes before your eyes, or is it just the other buildings?  As you are about to become street pizza, let's hope you saved your game recently.	Your life passes before your eyes, or is it just the other buildings?  As you are about to become street pizza, let's hope you saved your game recently.
You have used the last magic of the rope.	You have used the last magic of the rope.
You've already broken the spell, Master.	You've already broken the spell, Master.
You must move an unlit candle to break the spell, Master.   Please stop that human!	You must move an unlit candle to break the spell, Master.   Please stop that human!
This room is high atop the palace and far above Raseir.   Wind whips through the pillars and the moonlight, brighter than you have ever seen it, washes over the eerie scene.	This room is high atop the palace and far above Raseir.   Wind whips through the pillars and the moonlight, brighter than you have ever seen it, washes over the eerie scene.
Good idea, but he's too far away.	Good idea, but he's too far away.
You are already ducking as much as you can.	You are already ducking as much as you can.
Everything just bounces off that human, Boss.  You better try something else, quick!	Everything just bounces off that human, Boss.  You better try something else, quick!
You seem to have triggered a magical spell on that statue, Master.	You seem to have triggered a magical spell on that statue, Master.
Ducking a low blow is a quick way to go.	Ducking a low blow is a quick way to go.
DO something, Master!  He's about to light the final candle, and then Iblis will be FREE!	DO something, Master!  He's about to light the final candle, and then Iblis will be FREE!
Another candle!  Master, hurry!	Another candle!  Master, hurry!
That's got it, Boss!  Now stop those candles!	That's got it, Boss!  Now stop those candles!
You!  You will pay!	You!  You will pay!
By the Powers of all Darkness, By the Power of My Name!	By the Powers of all Darkness, By the Power of My Name!
Shall your soul be mirrored outward, Shall your body be the same!	Shall your soul be mirrored outward, Shall your body be the same!
Khaveen will enjoy having you for his very own, but I doubt that you will live very long.  You will pay for preventing me from releasing Iblis.	Khaveen will enjoy having you for his very own, but I doubt that you will live very long.  You will pay for preventing me from releasing Iblis.
You will pay!	You will pay!
Fool!	Fool!
So!  The hero has a reversal spell.  Well, there's a way around that!	So!  The hero has a reversal spell.  Well, there's a way around that!
Stop him, Master!  Don't let him cast that spell!	Stop him, Master!  Don't let him cast that spell!
The spell is about to go off!  It'll get you for sure!	The spell is about to go off!  It'll get you for sure!
You!  My spell is broken!  You will die!	You!  My spell is broken!  You will die!
We did it!  Hurray!	We did it!  Hurray!
Don't be such a Chatty Cathy.  Get moving.	Don't be such a Chatty Cathy.  Get moving.
Good idea!  He does look top-heavy with all those arms, doesn't he?  Unfortunately, his mass is far too great for that spell to have any effect.	Good idea!  He does look top-heavy with all those arms, doesn't he?  Unfortunately, his mass is far too great for that spell to have any effect.
You've got to be kidding!  That statue must weigh a thousand pounds!	You've got to be kidding!  That statue must weigh a thousand pounds!
You've already broken the spell, Master.  Stop that human!	You've already broken the spell, Master.  Stop that human!
You must hit an unlit candle to break the spell, Master.   Please stop that human!	You must hit an unlit candle to break the spell, Master.   Please stop that human!
You're too late, Master.  We've failed	You're too late, Master.  We've failed
You're too late, Master.  We've failed!	You're too late, Master.  We've failed!
Just run up to one and do it.	Just run up to one and do it.
The brazier is already lit.  Your spell has no effect.	The brazier is already lit.  Your spell has no effect.
Aim a little higher, Master.  Maybe you can tip it over onto him.	Aim a little higher, Master.  Maybe you can tip it over onto him.
The brazier is too heavy to fetch.	The brazier is too heavy to fetch.
No, Master!  You need to keep your feet on the ground.	No, Master!  You need to keep your feet on the ground.
What a bust.  That chiseler gave you no relief.  Next time, remember not to stand your ground so long with a stone statue.	What a bust.  That chiseler gave you no relief.  Next time, remember not to stand your ground so long with a stone statue.
What a beating.  You might've gone another round if you'd been healthier when you came in.	What a beating.  You might've gone another round if you'd been healthier when you came in.
You sure got a charge from that lightning.  Perhaps you should have been galvanized into action instead.	You sure got a charge from that lightning.  Perhaps you should have been galvanized into action instead.
Some wizard you are.  How do you Spell relief?  M-A-G-I-C!	Some wizard you are.  How do you Spell relief?  M-A-G-I-C!
Your transmogrification by incantation presages your expiration, but your instigation prevented devastation by Iblis's domination.  That is, you saved the world, but all you got for it was saurus breath.  Next time, take a moment to reflect before you enter this situation.	Your transmogrification by incantation presages your expiration, but your instigation prevented devastation by Iblis's domination.  That is, you saved the world, but all you got for it was saurus breath.  Next time, take a moment to reflect before you enter this situation.
Unable to penetrate your reversal spell, Ad Avis caused the floor around you to begin to burn.  Next time, take a tip from Ad Avis himself.  If your spell rebounds from its target, then find another target.	Unable to penetrate your reversal spell, Ad Avis caused the floor around you to begin to burn.  Next time, take a tip from Ad Avis himself.  If your spell rebounds from its target, then find another target.
Ad Avis seems to have turned the tables (and your own spells) on you.	Ad Avis seems to have turned the tables (and your own spells) on you.
The last candle!  Iblis is free!!	The last candle!  Iblis is free!!
Your tiny flame spell can't ignite these floors.  You need fire from another source to stop Ad Avis.  (Of course, if you had stayed at WIT, they would have taught you a floor burning spell.)	Your tiny flame spell can't ignite these floors.  You need fire from another source to stop Ad Avis.  (Of course, if you had stayed at WIT, they would have taught you a floor burning spell.)
Flame darts don't bounce.  But force bolts do.	Flame darts don't bounce.  But force bolts do.
Your force bolt lost its energy by the time it struck the wall, Master.  Perhaps you'd better get closer.	Your force bolt lost its energy by the time it struck the wall, Master.  Perhaps you'd better get closer.
Master, I am sorry, but I cannot allow you to leave without Iblis!	Master, I am sorry, but I cannot allow you to leave without Iblis!
You must get an unlit candle to break the spell, Master.   Please stop that man!	You must get an unlit candle to break the spell, Master.   Please stop that man!
Thank you, Master.  Now I can take Iblis back to his tomb where he will be safe for another thousand years and a year.	Thank you, Master.  Now I can take Iblis back to his tomb where he will be safe for another thousand years and a year.
I knew I would remember it.  The real prophecy is:	I knew I would remember it.  The real prophecy is:
"One thousand years and a Year,    so shall Iblis be caught, In the tombstones of the City,    where he and I once fought. Until moonlight has been captured,    twixt the Scorpion and Drake, Then comes a hero from the North,    and ancient powers wake."	"One thousand years and a Year,    so shall Iblis be caught, In the tombstones of the City,    where he and I once fought. Until moonlight has been captured,    twixt the Scorpion and Drake, Then comes a hero from the North,    and ancient powers wake."
"Come at last unto betrayal,    and to 'He who waits behind', Seek ye then to capture Iblis,    'ere he rises unconfined. Else shall come the night eternal,    Darkness overshadows Light, Unless a hero seeks the darkness,    and restores the wrongs to right."	"Come at last unto betrayal,    and to 'He who waits behind', Seek ye then to capture Iblis,    'ere he rises unconfined. Else shall come the night eternal,    Darkness overshadows Light, Unless a hero seeks the darkness,    and restores the wrongs to right."
Bye, bye, Master.  It's been fun!	Bye, bye, Master.  It's been fun!
You are wasting your energies, Master.  The Statue of Iblis was created by Suleiman to absorb and contain magic more powerful than yours.	You are wasting your energies, Master.  The Statue of Iblis was created by Suleiman to absorb and contain magic more powerful than yours.
The statue of Iblis is protected from harm by the Power of Suleiman.	The statue of Iblis is protected from harm by the Power of Suleiman.
You are nearly overwhelmed by the amount of magic in the area.	You are nearly overwhelmed by the amount of magic in the area.
Not yet, Master!  You will be seen!	Not yet, Master!  You will be seen!
No, Master!  Not that way!  You will be seen!	No, Master!  Not that way!  You will be seen!
Please wait until it's safe, Master!  You must not be caught!	Please wait until it's safe, Master!  You must not be caught!
No, Master!  Choose your direction carefully, or you will be caught.	No, Master!  Choose your direction carefully, or you will be caught.
Go quickly.  Hide in the room and I will distract Hajib at the table.	Go quickly.  Hide in the room and I will distract Hajib at the table.
Hajib, would you please come here a minute?  I wish to share some words with you.	Hajib, would you please come here a minute?  I wish to share some words with you.
What is it, young and restless one?	What is it, young and restless one?
Brothers!  A stranger!  Help!	Brothers!  A stranger!  Help!
You quickly discover that despite the fact they are overweight, the Eunuch Guards know how to fight.  You are quickly overwhelmed and captured.	You quickly discover that despite the fact they are overweight, the Eunuch Guards know how to fight.  You are quickly overwhelmed and captured.
As they start to drag you away, you here the Djinni scream "He's loose!  Iblis is free!"  As the walls collapse around you, you think to yourself that maybe you should have been sneakier	As they start to drag you away, you here the Djinni scream "He's loose!  Iblis is free!"  As the walls collapse around you, you think to yourself that maybe you should have been sneakier
Now, hurry, Master.  The guard may return any moment!	Now, hurry, Master.  The guard may return any moment!
